Plasticiser,Size,Water,Water Condition,Temperature_degC,Time_hours,Mean Plasticiser WtPercent,Std plasticiser WtPercent
DEHP,<200um,Marine,Agitated (200 rpm),26,0.016666667,12.41717278,0.048397484
DEHP,<200um,Marine,Agitated (200 rpm),60,0.016666667,12.60580499,0.024058486
DEHP,<200um,Marine,Agitated (200 rpm),43,0.016666667,12.43084228,0.0516465
DEHP,<200um,Marine,Agitated (200 rpm),26,0.05,12.41818391,0.067337107
DEHP,<200um,Marine,Agitated (200 rpm),43,0.05,12.5742184,0.053946463
DEHP,<200um,Marine,Agitated (200 rpm),60,0.05,12.39741645,0.022147528
DEHP,<200um,Marine,Agitated (200 rpm),26,0.083333333,12.43242116,0.20467933
DEHP,<200um,Marine,Agitated (200 rpm),43,0.083333333,12.61435014,0.046837614
DEHP,<200um,Marine,Agitated (200 rpm),60,0.083333333,11.78290858,1.036880959
DEHP,<200um,Marine,Agitated (200 rpm),43,0.25,12.48415836,0.424692694
DEHP,<200um,Marine,Agitated (200 rpm),26,0.25,10.34027688,1.188453098
DEHP,<200um,Marine,Agitated (200 rpm),60,0.25,10.93219333,1.989103972
BPA,<200um,Marine,Agitated (200 rpm),43,0.5,10.36626134,0.253933541
BPA,<200um,Marine,Agitated (200 rpm),26,0.5,11.04500614,0.572671673
BPA,<200um,Marine,Agitated (200 rpm),60,0.5,10.7420234,0.158706716
DEHP,<200um,Marine,Agitated (200 rpm),43,0.5,12.17947791,0.065515084
DEHP,<200um,Marine,Agitated (200 rpm),26,0.5,11.61033115,0.117188157
DEHP,<200um,Marine,Agitated (200 rpm),60,0.5,11.95764789,0.065092264
BPA,<200um,Marine,Agitated (200 rpm),43,1,10.31277309,0.424279902
BPA,<200um,Marine,Agitated (200 rpm),26,1,10.19640826,0.135498671
BPA,<200um,Marine,Agitated (200 rpm),60,1,10.46555543,0.878854309
DEHP,<200um,Marine,Agitated (200 rpm),43,1,12.06869988,0.744203617
DEHP,<200um,Marine,Agitated (200 rpm),26,1,11.02026713,0.489723935
DEHP,<200um,Marine,Agitated (200 rpm),60,1,11.97154439,0.172911175
BPA,<200um,Marine,Agitated (200 rpm),43,2,10.06905633,0.111394761
BPA,<200um,Marine,Agitated (200 rpm),26,2,10.92961981,0.005973129
BPA,<200um,Marine,Agitated (200 rpm),60,2,9.642926318,0.157855391
DEHP,<200um,Marine,Agitated (200 rpm),43,2,11.82526057,0.196290447
DEHP,<200um,Marine,Agitated (200 rpm),26,2,11.87177938,0.2782012
DEHP,<200um,Marine,Agitated (200 rpm),60,2,11.30896994,0.251151648
BPA,<200um,Marine,Agitated (200 rpm),43,19,9.830151877,0.215073783
BPA,<200um,Marine,Agitated (200 rpm),26,19,10.59525067,0.193989089
BPA,<200um,Marine,Agitated (200 rpm),60,19,9.921926945,0.291686639
DEHP,<200um,Marine,Agitated (200 rpm),43,19,11.50261145,0.666718618
DEHP,<200um,Marine,Agitated (200 rpm),26,20,12.23775106,0.442053989
DEHP,<200um,Marine,Agitated (200 rpm),60,21,12.40901235,0.69635076
BPA,<200um,Marine,Agitated (200 rpm),43,96,9.133309783,0.418242974
BPA,<200um,Marine,Agitated (200 rpm),26,96,10.31193042,0.951550154
BPA,<200um,Marine,Agitated (200 rpm),60,96,9.108416462,0.431829847
DEHP,<200um,Marine,Agitated (200 rpm),43,96,11.87980749,2.288926791
DEHP,<200um,Marine,Agitated (200 rpm),26,96,11.15190062,0.81864196
DEHP,<200um,Marine,Agitated (200 rpm),60,96,11.44182597,0.241309259
BPA,<200um,Marine,Agitated (200 rpm),43,168,8.878058869,0.448495549
BPA,<200um,Marine,Agitated (200 rpm),26,168,11.32663671,1.827570825
BPA,<200um,Marine,Agitated (200 rpm),60,168,6.833514086,1.288400354
DEHP,<200um,Marine,Agitated (200 rpm),43,168,11.94023896,0.458545233
DEHP,<200um,Marine,Agitated (200 rpm),26,168,11.21575481,0.404534062
DEHP,<200um,Marine,Agitated (200 rpm),60,168,11.86259069,0.16239949
BPA,<200um,Marine,Agitated (200 rpm),43,336,8.093096125,1.493617968
BPA,<200um,Marine,Agitated (200 rpm),26,336,9.454340102,2.959614511
BPA,<200um,Marine,Agitated (200 rpm),60,336,8.252700245,0.369902878
BPA,<200um,Marine,Agitated (200 rpm),43,504,9.109785728,0.087369428
BPA,<200um,Marine,Agitated (200 rpm),26,504,9.178093523,0.457468563
BPA,<200um,Marine,Agitated (200 rpm),60,504,7.846153724,1.303813777
