Plasticiser,Size,Water,Water Condition,Temperature (deg C),Time (days),Mean plasticiser WtPercent,Std plasticiser WtPercent
BPA,<200um,Marine,Agitated,25.5,0,16.68315946,0.104147168
BPA,<200um,Marine,Agitated,25.5,0.083,10.22284558,0.238557316
BPA,<200um,Marine,Agitated,25.5,1,10.45873733,0.798205657
BPA,<200um,Marine,Agitated,25.5,3,9.480744513,0.688266176
BPA,<200um,Marine,Agitated,25.5,7,6.087580939,2.603071388
BPA,<200um,Marine,Agitated,25.5,21,3.916931531,2.993067063
BPA,<200um,Marine,Still,5,0,16.68315946,0.104147168
BPA,<200um,Marine,Still,5,0.083,12.96496097,0.390899538
BPA,<200um,Marine,Still,5,1,11.7994005,0.38017162
BPA,<200um,Marine,Still,5,7,9.161089216,0.443158027
BPA,<200um,Marine,Still,5,21,10.55881152,0.120919504
BPA,<200um,Marine,Still,25.5,0,16.68315946,0.104147168
BPA,<200um,Marine,Still,25.5,0.083,11.03813103,0.588293877
BPA,<200um,Marine,Still,25.5,1,9.411115186,0.888529522
BPA,<200um,Marine,Still,25.5,7,9.175738751,0.443382666
BPA,<200um,Marine,Still,25.5,21,9.454072462,0.310302538
BPA,<200um,Marine,Still,60,0,16.68315946,0.104147168
BPA,<200um,Marine,Still,60,0.083,9.056785434,0.838814732
BPA,<200um,Marine,Still,60,1,8.857622824,0.331305462
BPA,<200um,Marine,Still,60,7,8.314695366,0.53383635
BPA,<200um,Marine,Still,60,21,8.987046644,0.607164926
BPA,1-2mm,Marine,Still,5,0,15.34660403,0.11955995
BPA,1-2mm,Marine,Still,5,1,15.50327971,1.116497094
BPA,1-2mm,Marine,Still,5,7,17.84832486,2.657139676
BPA,1-2mm,Marine,Still,5,14,13.81051204,0.521547677
BPA,1-2mm,Marine,Still,5,21,17.065907,2.113207823
BPA,1-2mm,Marine,Still,25.5,0,15.34660403,0.11955995
BPA,1-2mm,Marine,Still,25.5,1,16.64820208,2.457890927
BPA,1-2mm,Marine,Still,25.5,7,14.09010466,1.336325283
BPA,1-2mm,Marine,Still,25.5,14,15.20135016,0.844897991
BPA,1-2mm,Marine,Still,25.5,21,13.29556248,0.78959292
BPA,1-2mm,Marine,Still,60,0,15.34660403,0.11955995
